product_code,type,brands,lens_width,location,stock,cost_price,sale_price_s,sale_price_a,mrp,comments
FASILOOR METAL  SIDE,,,,"T27-10,CT7-2",12.0,,300.0,,300.0,FRAME
HASHTAG SUPRA METAL,ETX,,,"L4D4S2-2,D10-(1 PCS CRACK)",2.0,,900.0,,900.0,FRAME
HASHTAG FULL METAL,EXX,,,D10-2,2.0,,600.0,,600.0,FRAME
MAIRA BOSS SUPRA METAL,EXX,,,NA,0.0,,550.0,,550.0,FRAME
MAIRA BOSS FULL METAL,EXX,,,NA,0.0,,550.0,,550.0,FRAME
TR FANCY METAL,EXX,,,"D9-1,L5D2S2-2",3.0,,500.0,,500.0,FRAME
JOHN HILL SUPRA,AX,,,NA,0.0,,450.0,,450.0,FRAME
BABY ACETATE,AX,,,NA,0.0,,400.0,,400.0,FRAME
TANKS METAL ROUND,AX,,,"L4D5S3-2,CT12-1",3.0,,300.0,,300.0,FRAME
ALPHA ACETATE,EXX,,,L2D5S2-1,1.0,,450.0,,450.0,FRAME
SPEED,AX,,,NA,0.0,,300.0,,300.0,FRAME
CANSTAR,AX,,,D9-2,6.0,,450.0,,450.0,FRAME
PEN READING,CT,,,BOX-358,304.0,,200.0,,200.0,FRAME
NIKE SUPRA METAL,AX,,,NA,0.0,,450.0,,450.0,FRAME
PRADA FULL METAL ROUND IST,ETX,,,L6D4S2-2,2.0,,1000.0,,1000.0,FRAME
PRADA FULL METAL SQURE IST,ETX,,,"C10-7,L3D6S3-2",9.0,,1000.0,,1000.0,FRAME
RAYBAN AVIATOR SUPRA METAL IST,EXX,,,L3D4S1-1,1.0,,700.0,,700.0,FRAME
HANKER(66009),,,,"C8R2-4,CT8-1",5.0,,450.0,,450.0,FULL METAL AVIATOR FRAME
HANKER(66012),,,,CT9-1,1.0,,450.0,,450.0,FULL METAL SQURE FRAME
HANKER(66013),,,,CT9-1,1.0,,450.0,,450.0,FULL METAL SQURE FRAME
HANKER(66014),,,,NA,0.0,,450.0,,450.0,FULL METAL SQURE FRAME
HANKER(66018),,,,"L5D2S3-4,D10-1",5.0,,450.0,,450.0,FULL METAL SQURE FRAME
HANKER(66019),,,,"C8R2-2,D10-1,CT8-1",4.0,,450.0,,450.0,FULL METAL SQURE FRAME
HANKER(66020),,,,"CT9-1,D10-1,DS4-2",5.0,,450.0,,450.0,FULL METAL AVIATOR FRAME
LOUIS VUITION FULL METAL,,,,"BOX-5,D10-2",7.0,,600.0,,600.0,EXX
MAYBACH FULL METAL,,,,NA,0.0,,600.0,,600.0,EXX
FERRARI FULL METAL,,,,L4D3S3-3,3.0,,800.0,,800.0,EXX
CARRERA FULL AVIATOR ,,,,BOX-4,4.0,,800.0,,800.0,EXX
CARRERA SUPRA METAL,,,,BOX-7,7.0,,800.0,,800.0,EXX
VERSACE FULL METAL,,,,L4D2S2-4,4.0,,800.0,,800.0,EXX
