product_code,lens_width,brands,location,type,comments,mrp,cost_price,sale_price_s,sale_price_a,stock
VE1225B_1355_51,,,A6,,,18000.0,,,,1
VE4321_518213_58,,,A7,,,13500.0,,,,0
VE1210BM_1002_52,,,A6,,,11500.0,,,,0
DG1231_488_54,,,A6,,,14700.0,,,,0
DG2155_129313_56,,,A7,,,14500.0,,,,0
DG6087_502T5_55,,,A6,,,15500.0,,,,0
DG5115_090_50,,,A6,,,9100.0,,,,0
DG1238P_1169_54,,,A6,,,9210.0,,,,-1
FC7224_C2_63,,,B2,,,4600.0,,,,1
FC7311_C2_62,,,B2,,,4590.0,,,,1
FC7311_C4_62,,,B2,,,4590.0,,,,1
EA4063_5465T3_58,,,A8,,,10500.0,,,,0
EA3069_5473_53,,,A8,,,11900.0,,,,0
EA3073_5026_54,,,A8,,,7500.0,,,,0
EA1052_3155_53,,,A8,,,10000.0,,,,0
EA3091_5500_53,,,A8,,,8500.0,,,,0
EA3025_5017_54,,,A8,,,11900.0,,,,0
EA2034_3158E_54,,,A8,,,11500.0,,,,1
EA3091_5509_55,,,A8,,,8500.0,,,,0
EA3076_5026_52,,,A8,,,11500.0,,,,0
EA1002_3010_53,,,A8,,,11000.0,,,,0
EA3013_5026_52,,,A8,,,9500.0,,,,0
EA2039_302073_62,,,A8,,,8500.0,,,,0
EA4057_54598G_56,,,A8,,,11500.0,,,,0
EA3055_5063_53,,,A8,,,11000.0,,,,0
EA2033_313187_64,,,A8,,,10500.0,,,,1
EA1041_3131_55,,,A8,,,10500.0,,,,0
EA4079_550455_57,,,A8,,,10500.0,,,,0
EA4077_50658G_58,,,A8,,,10000.0,,,,0
EA2024_300113_58,,,A8,,,12000.0,,,,0
EA3089_5535_54,,,A8,,,9000.0,,,,0
EA1042_3128_53,,,A8,,,7500.0,,,,0
EA4037_501713_57,,,A8,,,13000.0,,,,0
EA1050_3001_55,,,A8,,,9000.0,,,,0
EA4062_54631Z_49,,,A8,,,12500.0,,,,0
EA4075_502613_57,,,A8,,,10000.0,,,,0
EA3079_5026_49,,,A8,,,8500.0,,,,0
EA4073_501711_56,,,A8,,,8500.0,,,,0
EA3063_5017_55,,,A8,,,10500.0,,,,0
EA4072_550287_52,,,A8,,,8500.0,,,,0
EA2001_3010181_64,,,A8,,,13000.0,,,,1
OO9175_17_55,,,A9,,,5990.0,,,,1
OO9096_A6_60,,,A9,,,7090.0,,,,1
OX3165_3118_53,,,A9,,,5490.0,,,,1
OO9135_25_56,,,A9,,,6690.0,,,,0
OO9315_02_55,,,A9,,,6990.0,,,,0
OO9315_03_55,,,A9,,,7790.0,,,,0
OO9156_19_71,,,A9,,,11990.0,,,,0
OO9262_04_57,,,A9,,,6690.0,,,,0
OO4054_14_60,,,A9,,,8490.0,,,,0
OO9320_04_53,,,A9,,,9990.0,,,,0
RJ9054S_18687_51,,,A9,,,2990.0,,,,0
FTPC001_BK1_M,,,A11,,,950.0,,,,0
FTPC001_BK2_M,,,A12,,,850.0,,,,0
FTPC002_BK5_M,,,A9,,,895.0,,,,1
FTPC001_BR23_M,,,A9,,,995.0,,,,1
FTPC002_BR3_M,,,A10,,,895.0,,,,0
FTPC001_BU13_M,,,A11,,,850.0,,,,0
FTPC001_GL27_M,,,A9,,,995.0,,,,0
FTR045_BR2F_M,,,A10,,,1895.0,,,,0
FTC046_BK1_M,,,A11,,,1850.0,,,,-3
FTC056_PR2F_M,,,A10,,,1995.0,,,,0
FTC066_BR2F_M,,,A10,,,1295.0,,,,1
FTC046_BR3_M,,,A11,,,1850.0,,,,0
FTC060_BK2_M,,,A10,,,2150.0,,,,0
FTC046_PR2_M,,,A10,,,1850.0,,,,1
FTC057_BR1F_M,,,A10,,,2450.0,,,,0
FTC078_BR3F_M,,,A10,,,1750.0,,,,0
FTC077_BK1_M,,,A11,,,1895.0,,,,0
FTC062_BR1F_M,,,A10,,,1895.0,,,,0
FTC078_BR2F_M,,,A10,,,1795.0,,,,0
FTM154_BR2_M,,,A11,,,1995.0,,,,0
FTM062_GR2_M,,,A11,,,2495.0,,,,0
FTM144_BR2_M,,,A11,,,2350.0,,,,0
FTM083_GY1F_M,,,A11,,,2095.0,,,,0
FTM035_GR5P_M,,,A11,,,2495.0,,,,0
FTM067_BR4_M,,,A11,,,1995.0,,,,0
FTM069_BR1_M,,,A11,,,2150.0,,,,0
FTM101_BR3P_M,,,A11,,,2350.0,,,,1
FTM035_GY1_M,,,A11,,,2150.0,,,,-1
FTM177_BK3F_M,,,A11,,,2495.0,,,,0
FTM083_PR3F_M,,,A11,,,2095.0,,,,0
FTM062_BR3_M,,,A11,,,2150.0,,,,-1
FTM035_BR6_M,,,A11,,,1950.0,,,,0
FTM083_BR2F_M,,,A11,,,2150.0,,,,0
FTM175_BR1F_M,,,A11,,,2295.0,,,,0
FTP294_BU2_M,,,A12,,,1195.0,,,,0
FTP275_BK2_M,,,A12,,,1350.0,,,,0
FTP313_BK1F_M,,,A12,,,1295.0,,,,0
FTP180_BR1F_M,,,A12,,,1395.0,,,,0
FTP313_PR2F_M,,,A12,,,1295.0,,,,0
FTP324_BK3F_M,,,A12,,,1750.0,,,,0
FTP222_GRI_M,,,A12,,,895.0,,,,0
FTP192_BR2_M,,,A11,,,995.0,,,,0
FTP040_BR2_M,,,A12,,,1295.0,,,,0
FTP309_BK1F_M,,,A12,,,1650.0,,,,0
FTP186_BR1F_M,,,A12,,,1395.0,,,,-1
FTP337_BR2F_M,,,A12,,,2450.0,,,,0
FTP218_BR2FP_M,,,A12,,,2450.0,,,,0
FTP203_BR1_M,,,A12,,,1495.0,,,,0
FTP307_BK1FP_M,,,A12,,,1950.0,,,,1
FTP218_BK1FP_M,,,A12,,,2395.0,,,,0
FTP191_PR2F_M,,,A12,,,1295.0,,,,0
FTP325_BK2F_M,,,A12,,,1495.0,,,,0
FTP201_BR2_M,,,A12,,,1495.0,,,,1
FTP186_PR2F_M,,,A12,,,1395.0,,,,0
FTP182_BK2F_M,,,A12,,,1295.0,,,,0
FTP299_BU1_M,,,A12,,,1495.0,,,,0
FTP157_BR1F_M,,,A12,,,1795.0,,,,0
FTP178_BR3FP_M,,,A12,,,1750.0,,,,0
